 
.1.wav.json vs .CelloA3.wav.json: spectral.decrease.ch2: -0.00395933 (File1), 0.00024349 (File2), Absolute Difference: 0.00420282
.1.wav.json vs .CelloA3.wav.json: spectral.rolloff.ch1: 2511.06 (File1), 7758.64 (File2), Absolute Difference: 5247.58
.1.wav.json vs .CelloA3.wav.json: spectral.rolloff.ch2: 3603.69 (File1), 7753.4 (File2), Absolute Difference: 4149.71
.1.wav.json vs .CelloC2.wav.json: metadata.format.duration: 7.759478 (File1), 12.772653 (File2), Absolute Difference: 5.01318
.1.wav.json vs .CelloC2.wav.json: loudness.max_volume: -2.0 (File1), -13.4 (File2), Absolute Difference: 11.4
.1.wav.json vs .CelloC2.wav.json: loudness.mean_volume: -30.3 (File1), -25.9 (File2), Absolute Difference: 4.4
.1.wav.json vs .CelloC2.wav.json: loudness.integrated_lufs: -18.7 (File1), -21.5 (File2), Absolute Difference: 2.8
.1.wav.json vs .CelloC2.wav.json: loudness.threshold: -42.8 (File1), -42.6 (File2), Absolute Difference: 0.2
.1.wav.json vs .CelloC2.wav.json: loudness.lra: 5.2 (File1), 12.8 (File2), Absolute Difference: 7.6
.1.wav.json vs .CelloC2.wav.json: spectral.centroid.ch1: 1239.22 (File1), 3050.32 (File2), Absolute Difference: 1811.1
.1.wav.json vs .CelloC2.wav.json: spectral.centroid.ch2: 1739.45 (File1), 3054.1 (File2), Absolute Difference: 1314.65
.1.wav.json vs .CelloC2.wav.json: spectral.variance.ch1: 2.92949E-9 (File1), 1.3973E-8 (File2), Absolute Difference: 15.4679
.1.wav.json vs .CelloC2.wav.json: spectral.variance.ch2: 7.60612E-9 (File1), 1.39731E-8 (File2), Absolute Difference: 10.7912
.1.wav.json vs .CelloC2.wav.json: spectral.spread.ch1: 1206 (File1), 3915.73 (File2), Absolute Difference: 2709.73
.1.wav.json vs .CelloC2.wav.json: spectral.spread.ch2: 1707.59 (File1), 3917.11 (File2), Absolute Difference: 2209.52
.1.wav.json vs .CelloC2.wav.json: spectral.skewness.ch1: 1.12663 (File1), 2.55614 (File2), Absolute Difference: 1.42951
.1.wav.json vs .CelloC2.wav.json: spectral.skewness.ch2: 1.24188 (File1), 2.55492 (File2), Absolute Difference: 1.31304
.1.wav.json vs .CelloC2.wav.json: spectral.kurtosis.ch1: 2.25577 (File1), 12.089 (File2), Absolute Difference: 9.83323
.1.wav.json vs .CelloC2.wav.json: spectral.kurtosis.ch2: 3.41568 (File1), 12.0865 (File2), Absolute Difference: 8.67082
.1.wav.json vs .CelloC2.wav.json: spectral.entropy.ch1: 0.193421 (File1), 0.124272 (File2), Absolute Difference: .069149
.1.wav.json vs .CelloC2.wav.json: spectral.entropy.ch2: 0.205477 (File1), 0.124272 (File2), Absolute Difference: .081205
.1.wav.json vs .CelloC2.wav.json: spectral.flatness.ch1: 0.133161 (File1), 0.346631 (File2), Absolute Difference: 0.21347
.1.wav.json vs .CelloC2.wav.json: spectral.flatness.ch2: 0.212222 (File1), 0.346637 (File2), Absolute Difference: 0.134415
.1.wav.json vs .CelloC2.wav.json: spectral.crest.ch1: 8.03202 (File1), 1725.59 (File2), Absolute Difference: 1717.56
.1.wav.json vs .CelloC2.wav.json: spectral.crest.ch2: 6.10815 (File1), 1725.69 (File2), Absolute Difference: 1719.58
.1.wav.json vs .CelloC2.wav.json: spectral.flux.ch1: 0.00585391 (File1), 0.00814345 (File2), Absolute Difference: 0.00228954
.1.wav.json vs .CelloC2.wav.json: spectral.flux.ch2: 0.010021 (File1), 0.00814346 (File2), Absolute Difference: .00187754
.1.wav.json vs .CelloC2.wav.json: spectral.slope.ch1: -0.0000152506 (File1), -0.0000126548 (File2), Absolute Difference: 2.5958e-06
